prov,urb_rur,mon,new_pt,relaps_rate,od_flag,szn_flag,sess_lag1,sess_lag2,sess_lag12,pred_demand
AB,U,2023-03-01,122,0,0,0,592,554,434,533.43
AB,U,2023-04-01,121,0,0,0,551,592,440,518.26
AB,U,2023-05-01,110,0,0,0,533,551,428,524.43
AB,U,2023-06-01,120,0,1,0,518,533,429,508.6
AB,U,2023-07-01,122,0,0,0,524,518,426,499.52
AB,U,2023-08-01,118,0,0,0,509,524,424,492.98
AB,U,2023-09-01,125,0,0,0,500,509,422,539.95
AB,U,2023-10-01,132,0,0,1,493,500,458,572.12
AB,U,2023-11-01,148,0,0,1,540,493,512,596.87
AB,U,2023-12-01,131,0,0,1,572,540,521,627.59
AB,U,2024-01-01,133,0,0,1,597,572,554,663.02
AB,U,2024-02-01,130,0,0,1,628,597,592,614.77
AB,U,2024-03-01,112,0,0,0,663,628,551,590.61
AB,U,2024-04-01,133,0,0,0,615,663,533,578.52
AB,U,2024-05-01,134,0,0,0,591,615,518,565.07
AB,U,2024-06-01,161,0,0,0,579,591,524,534.41
AB,U,2024-07-01,133,0,0,0,565,579,509,531.92
AB,U,2024-08-01,140,0,0,0,534,565,500,514.49
AB,U,2024-09-01,137,0,0,0,532,534,493,553.22
AB,U,2024-10-01,125,0,0,1,514,532,540,587.13
AB,U,2024-11-01,152,0,0,1,553,514,572,617.71
AB,U,2024-12-01,148,0,0,1,587,553,597,651.04
AB,U,2025-01-01,149,0,0,1,618,587,628,668.48
AB,U,2025-02-01,131,0,0,1,651,618,663,638.83
AB,U,2025-03-01,158,0,0,0,668,651,615,610.29
AB,U,2025-04-01,127,0,0,0,639,668,591,597.61
AB,U,2025-05-01,151,0,0,0,610,639,579,588.25
AB,U,2025-06-01,170,0,0,0,598,610,565,578.78
AB,U,2025-07-01,134,0,1,0,588,598,534,566.11
AB,U,2025-08-01,140,0,0,0,579,588,532,548.37
AB,U,2025-09-01,148,0,0,0,566,579,514,595.59
AB,U,2025-10-01,142,0,0,1,548,566,553,618.7
AB,U,2025-11-01,131,0,0,1,596,548,587,661.87
AB,U,2025-12-01,151,0,0,1,619,596,618,679.43
AB,U,2026-01-01,138,0,0,1,662,619,651,727.04
AB,U,2026-02-01,157,0,1,1,679,662,668,674.9
AB,U,2026-03-01,141,0,0,0,727,679,639,656.51
AB,U,2026-04-01,172,0,0,0,675,727,610,633.65
AB,U,2026-05-01,144,0,0,0,657,675,598,602.53
AB,U,2026-06-01,151,0,0,0,634,657,588,584.72
AB,U,2026-07-01,166,0,0,0,603,634,579,561.0
AB,U,2026-08-01,141,0,0,0,585,603,566,558.61
AB,U,2026-09-01,160,0,0,0,561,585,548,616.57
AB,U,2026-10-01,175,0,0,1,559,561,596,635.4
AB,U,2026-11-01,139,0,0,1,617,559,619,667.79
BC,R,2022-01-01,127,0,0,1,375,335,95,422.33
BC,R,2022-02-01,115,0,0,1,404,375,93,412.93
BC,R,2022-03-01,101,0,0,0,422,404,131,419.8
BC,R,2022-04-01,119,0,0,0,413,422,163,409.77
BC,R,2022-05-01,105,0,0,0,420,413,201,415.62
BC,R,2022-06-01,122,0,0,0,410,420,220,422.65
BC,R,2022-07-01,126,0,0,0,416,410,245,422.05
BC,R,2022-08-01,108,0,0,0,423,416,262,428.53
BC,R,2022-09-01,126,0,0,0,422,423,274,468.96
BC,R,2022-10-01,122,0,0,1,429,422,322,496.42
BC,R,2022-11-01,126,0,0,1,469,429,335,517.17
BC,R,2022-12-01,138,0,0,1,496,469,375,541.76
BC,R,2023-01-01,118,0,0,1,517,496,404,558.42
BC,R,2023-02-01,114,0,0,1,542,517,422,541.63
BC,R,2023-03-01,113,0,0,0,558,542,413,520.06
BC,R,2023-04-01,115,0,0,0,542,558,420,506.55
BC,R,2023-05-01,123,0,0,0,520,542,410,497.03
BC,R,2023-06-01,128,0,0,0,507,520,416,503.29
BC,R,2023-07-01,128,0,1,0,497,507,423,498.85
BC,R,2023-08-01,135,0,0,0,503,497,422,481.58
BC,R,2023-09-01,127,0,0,0,499,503,429,526.75
BC,R,2023-10-01,143,0,0,1,482,499,469,543.8
BC,R,2023-11-01,126,0,0,1,527,482,496,572.04
BC,R,2023-12-01,158,0,0,1,544,527,517,594.22
BC,R,2024-01-01,137,0,0,1,572,544,542,615.95
BC,R,2024-02-01,122,0,0,1,594,572,558,575.48
BC,R,2024-03-01,121,0,0,0,616,594,542,556.73
BC,R,2024-04-01,138,0,0,0,575,616,520,530.11
BC,R,2024-05-01,131,0,0,0,557,575,507,519.94
BC,R,2024-06-01,142,0,0,0,530,557,497,499.78
BC,R,2024-07-01,141,0,0,0,520,530,503,496.16
BC,R,2024-08-01,136,0,0,0,500,520,499,484.17
BC,R,2024-09-01,128,0,0,0,496,500,482,510.63
BC,R,2024-10-01,121,0,0,1,484,496,527,538.19
BC,R,2024-11-01,134,0,0,1,511,484,544,585.41
BC,R,2024-12-01,149,0,1,1,538,511,572,609.97
BC,R,2025-01-01,143,0,0,1,585,538,594,641.17
BC,R,2025-02-01,127,0,0,1,610,585,616,592.67
BC,R,2025-03-01,144,0,0,0,641,610,575,579.77
BC,R,2025-04-01,148,0,0,0,593,641,557,556.95
BC,R,2025-05-01,134,0,0,0,580,593,530,547.84
BC,R,2025-06-01,147,0,0,0,557,580,520,534.43
BC,R,2025-07-01,146,0,0,0,548,557,500,514.13
BC,R,2025-08-01,133,0,0,0,534,548,496,505.73
BC,R,2025-09-01,152,0,0,0,514,534,484,543.73
BC,R,2025-10-01,155,0,0,1,506,514,511,583.42
BC,R,2025-11-01,162,0,0,1,544,506,538,613.59
BC,R,2025-12-01,162,0,0,1,583,544,585,648.34
BC,R,2026-01-01,134,0,0,1,614,583,610,668.05
BC,R,2026-02-01,140,0,0,1,648,614,641,628.34
BC,R,2026-03-01,159,0,0,0,668,648,593,601.91
BC,R,2026-04-01,160,0,0,0,628,668,580,593.27
BC,R,2026-05-01,160,0,1,0,602,628,557,576.4
BC,R,2026-06-01,203,0,0,0,593,602,548,582.79
BC,R,2026-07-01,163,0,1,0,576,593,534,568.89
BC,R,2026-08-01,171,0,0,0,583,576,514,548.1
BC,R,2026-09-01,169,0,0,0,569,583,506,600.0
BC,R,2026-10-01,167,0,0,1,548,569,544,620.99
BC,R,2026-11-01,155,0,0,1,600,548,583,655.51
BC,U,2022-01-01,104,0,1,1,437,401,140,516.23
BC,U,2022-02-01,117,0,0,1,490,437,137,499.19
BC,U,2022-03-01,105,0,0,0,516,490,189,497.18
BC,U,2022-04-01,115,0,0,0,499,516,220,483.62
BC,U,2022-05-01,114,0,0,0,497,499,248,487.39
BC,U,2022-06-01,108,0,0,0,484,497,261,484.92
BC,U,2022-07-01,135,0,0,0,487,484,272,481.45
BC,U,2022-08-01,122,0,0,0,485,487,286,477.4
BC,U,2022-09-01,98,0,0,0,481,485,303,543.65
BC,U,2022-10-01,120,0,1,1,477,481,367,573.39
BC,U,2022-11-01,112,0,0,1,544,477,401,608.2
BC,U,2022-12-01,128,0,0,1,573,544,437,630.16
BC,U,2023-01-01,113,0,0,1,608,573,490,662.18
BC,U,2023-02-01,120,0,0,1,630,608,516,619.64
BC,U,2023-03-01,127,0,0,0,662,630,499,607.3
BC,U,2023-04-01,131,0,0,0,620,662,497,584.57
BC,U,2023-05-01,112,0,0,0,607,620,484,569.2
BC,U,2023-06-01,121,0,0,0,585,607,487,555.26
BC,U,2023-07-01,121,0,0,0,569,585,485,531.56
BC,U,2023-08-01,120,0,0,0,555,569,481,527.68
BC,U,2023-09-01,145,0,0,0,532,555,477,573.77
BC,U,2023-10-01,132,0,0,1,528,532,544,601.87
BC,U,2023-11-01,116,0,0,1,574,528,573,629.99
BC,U,2023-12-01,139,0,0,1,602,574,608,675.16
BC,U,2024-01-01,153,0,0,1,630,602,630,696.74
BC,U,2024-02-01,142,0,0,1,675,630,662,660.64
BC,U,2024-03-01,116,0,0,0,697,675,620,641.3
BC,U,2024-04-01,128,0,0,0,661,697,607,619.93
BC,U,2024-05-01,147,0,0,0,641,661,585,611.7
BC,U,2024-06-01,127,0,0,0,620,641,569,587.79
BC,U,2024-07-01,140,0,0,0,612,620,555,584.49
BC,U,2024-08-01,145,0,0,0,588,612,532,574.0
BC,U,2024-09-01,127,0,0,0,584,588,528,614.15
BC,U,2024-10-01,137,0,0,1,574,584,574,645.33
BC,U,2024-11-01,103,0,0,1,614,574,602,672.2
BC,U,2024-12-01,128,0,0,1,645,614,630,724.29
BC,U,2025-01-01,138,0,1,1,672,645,675,744.83
BC,U,2025-02-01,127,0,0,1,724,672,697,724.36
BC,U,2025-03-01,161,0,1,0,745,724,661,694.76
BC,U,2025-04-01,127,0,0,0,724,745,641,674.3
BC,U,2025-05-01,139,0,0,0,695,724,620,641.78
BC,U,2025-06-01,146,0,0,0,674,695,612,638.83
BC,U,2025-07-01,162,0,0,0,642,674,588,605.07
BC,U,2025-08-01,130,0,0,0,639,642,584,605.63
BC,U,2025-09-01,161,0,0,0,605,639,574,656.31
BC,U,2025-10-01,148,0,0,1,606,605,614,674.98
BC,U,2025-11-01,137,0,0,1,656,606,645,708.97
BC,U,2025-12-01,155,0,0,1,675,656,672,732.14
BC,U,2026-01-01,153,0,0,1,709,675,724,760.23
BC,U,2026-02-01,144,0,0,1,732,709,745,715.77
BC,U,2026-03-01,153,0,0,0,760,732,724,697.23
BC,U,2026-04-01,149,0,0,0,716,760,695,681.14
BC,U,2026-05-01,155,0,0,0,697,716,674,669.78
BC,U,2026-06-01,163,0,0,0,681,697,642,650.23
BC,U,2026-07-01,176,0,0,0,670,681,639,647.12
BC,U,2026-08-01,141,0,1,0,650,670,605,625.02
BC,U,2026-09-01,184,0,0,0,647,650,606,662.3
BC,U,2026-10-01,134,0,0,1,625,647,656,703.3
BC,U,2026-11-01,157,0,0,1,662,625,675,748.02
ON,R,2022-01-01,103,0,0,1,369,335,100,422.93
ON,R,2022-02-01,106,0,0,1,394,369,98,411.52
ON,R,2022-03-01,119,0,0,0,423,394,130,408.45
ON,R,2022-04-01,118,0,0,0,412,423,154,404.04
ON,R,2022-05-01,113,0,0,0,408,412,179,411.31
ON,R,2022-06-01,115,0,0,0,404,408,206,411.82
ON,R,2022-07-01,127,0,0,0,411,404,221,404.83
ON,R,2022-08-01,111,0,0,0,412,411,241,409.09
ON,R,2022-09-01,122,0,0,0,405,412,255,443.4
ON,R,2022-10-01,116,0,0,1,409,405,297,498.38
ON,R,2022-11-01,117,0,1,1,443,409,335,523.51
ON,R,2022-12-01,130,0,0,1,498,443,369,550.27
ON,R,2023-01-01,128,0,0,1,524,498,394,578.99
ON,R,2023-02-01,129,0,0,1,550,524,423,539.59
ON,R,2023-03-01,135,0,0,0,579,550,412,519.38
ON,R,2023-04-01,123,0,0,0,540,579,408,499.97
ON,R,2023-05-01,130,0,0,0,519,540,404,489.12
ON,R,2023-06-01,121,0,0,0,500,519,411,489.58
ON,R,2023-07-01,129,0,0,0,489,500,412,489.56
ON,R,2023-08-01,125,0,0,0,490,489,405,480.61
ON,R,2023-09-01,128,0,0,0,490,490,409,523.11
ON,R,2023-10-01,134,0,0,1,481,490,443,532.92
ON,R,2023-11-01,120,0,0,1,523,481,498,565.44
ON,R,2023-12-01,151,0,0,1,533,523,524,581.01
ON,R,2024-01-01,120,0,0,1,565,533,550,619.55
ON,R,2024-02-01,119,0,1,1,581,565,579,582.7
ON,R,2024-03-01,144,0,0,0,620,581,540,564.26
ON,R,2024-04-01,141,0,0,0,583,620,519,535.31
ON,R,2024-05-01,140,0,0,0,564,583,500,529.36
ON,R,2024-06-01,141,0,0,0,535,564,489,506.84
ON,R,2024-07-01,135,0,0,0,529,535,490,497.32
ON,R,2024-08-01,127,0,0,0,507,529,490,500.47
ON,R,2024-09-01,138,0,0,0,497,507,481,529.36
ON,R,2024-10-01,131,0,0,1,500,497,523,544.53
ON,R,2024-11-01,150,0,0,1,529,500,533,573.53
ON,R,2024-12-01,138,0,0,1,545,529,565,604.89
ON,R,2025-01-01,131,0,0,1,574,545,581,661.37
ON,R,2025-02-01,138,0,1,1,605,574,620,608.9
ON,R,2025-03-01,147,0,0,0,661,605,583,593.99
ON,R,2025-04-01,137,0,0,0,609,661,564,585.58
ON,R,2025-05-01,134,0,1,0,594,609,535,564.45
ON,R,2025-06-01,148,0,0,0,586,594,529,565.56
ON,R,2025-07-01,148,0,0,0,564,586,507,535.38
ON,R,2025-08-01,141,0,0,0,566,564,497,527.1
ON,R,2025-09-01,142,0,0,0,535,566,500,570.48
ON,R,2025-10-01,151,0,0,1,527,535,529,598.87
ON,R,2025-11-01,132,0,0,1,570,527,545,622.25
ON,R,2025-12-01,133,0,0,1,599,570,574,649.72
ON,R,2026-01-01,142,0,0,1,622,599,605,670.89
ON,R,2026-02-01,149,0,0,1,650,622,661,635.22
ON,R,2026-03-01,156,0,0,0,671,650,609,616.65
ON,R,2026-04-01,171,0,0,0,635,671,594,601.93
ON,R,2026-05-01,165,0,0,0,617,635,586,579.29
ON,R,2026-06-01,153,0,0,0,602,617,564,566.6
ON,R,2026-07-01,156,0,0,0,579,602,566,549.25
ON,R,2026-08-01,144,0,0,0,567,579,535,544.66
ON,R,2026-09-01,157,0,0,0,549,567,527,583.31
ON,R,2026-10-01,155,0,0,1,545,549,570,601.8
ON,R,2026-11-01,163,0,0,1,583,545,599,639.44
ON,U,2022-01-01,123,0,0,1,452,412,150,531.03
ON,U,2022-02-01,120,0,0,1,493,452,147,535.9
ON,U,2022-03-01,131,0,1,0,531,493,183,519.73
ON,U,2022-04-01,106,0,0,0,536,531,209,511.9
ON,U,2022-05-01,121,0,0,0,520,536,234,503.32
ON,U,2022-06-01,116,0,0,0,512,520,266,500.29
ON,U,2022-07-01,135,0,0,0,503,512,272,498.23
ON,U,2022-08-01,109,0,0,0,500,503,313,492.93
ON,U,2022-09-01,109,0,0,0,498,500,330,515.54
ON,U,2022-10-01,112,0,0,1,493,498,376,550.55
ON,U,2022-11-01,98,0,0,1,516,493,412,581.87
ON,U,2022-12-01,114,0,0,1,551,516,452,610.23
ON,U,2023-01-01,113,0,0,1,582,551,493,637.82
ON,U,2023-02-01,123,0,0,1,610,582,531,612.86
ON,U,2023-03-01,125,0,0,0,638,610,536,605.23
ON,U,2023-04-01,141,0,0,0,613,638,520,582.67
ON,U,2023-05-01,133,0,0,0,605,613,512,570.45
ON,U,2023-06-01,119,0,0,0,583,605,503,548.48
ON,U,2023-07-01,116,0,0,0,570,583,500,533.76
ON,U,2023-08-01,131,0,0,0,548,570,498,519.37
ON,U,2023-09-01,114,0,0,0,534,548,493,576.23
ON,U,2023-10-01,147,0,0,1,519,534,516,613.25
ON,U,2023-11-01,141,0,0,1,576,519,551,644.61
ON,U,2023-12-01,125,0,0,1,613,576,582,673.74
ON,U,2024-01-01,113,0,0,1,645,613,610,708.65
ON,U,2024-02-01,145,0,0,1,674,645,638,662.21
ON,U,2024-03-01,131,0,0,0,709,674,613,666.82
ON,U,2024-04-01,146,0,1,0,662,709,605,637.83
ON,U,2024-05-01,117,0,0,0,667,662,583,621.9
ON,U,2024-06-01,128,0,0,0,638,667,570,610.44
ON,U,2024-07-01,136,0,0,0,622,638,548,597.96
ON,U,2024-08-01,137,0,0,0,610,622,534,584.27
ON,U,2024-09-01,132,0,0,0,598,610,519,638.26
ON,U,2024-10-01,145,0,0,1,584,598,576,661.24
ON,U,2024-11-01,127,0,0,1,638,584,613,687.27
ON,U,2024-12-01,138,0,0,1,661,638,645,716.73
ON,U,2025-01-01,142,0,0,1,687,661,674,740.76
ON,U,2025-02-01,147,0,0,1,717,687,709,696.93
ON,U,2025-03-01,150,0,0,0,741,717,662,671.21
ON,U,2025-04-01,130,0,0,0,697,741,667,640.52
ON,U,2025-05-01,126,0,0,0,671,697,638,626.73
ON,U,2025-06-01,160,0,0,0,641,671,622,599.66
ON,U,2025-07-01,150,0,0,0,627,641,610,588.32
ON,U,2025-08-01,138,0,0,0,600,627,598,599.77
ON,U,2025-09-01,166,0,1,0,588,600,584,635.68
ON,U,2025-10-01,150,0,0,1,600,588,638,677.24
ON,U,2025-11-01,163,0,0,1,636,600,661,713.52
ON,U,2025-12-01,151,0,0,1,677,636,687,739.33
ON,U,2026-01-01,176,0,0,1,714,677,717,770.21
ON,U,2026-02-01,173,0,0,1,739,714,741,737.15
ON,U,2026-03-01,149,0,1,0,770,739,697,707.11
ON,U,2026-04-01,165,0,0,0,737,770,671,691.06
ON,U,2026-05-01,162,0,0,0,707,737,641,670.8
ON,U,2026-06-01,172,0,0,0,691,707,627,646.7
ON,U,2026-07-01,144,0,0,0,671,691,600,621.7
ON,U,2026-08-01,165,0,0,0,647,671,588,618.27
ON,U,2026-09-01,171,0,0,0,622,647,600,650.11
ON,U,2026-10-01,136,0,0,1,618,622,636,683.07
ON,U,2026-11-01,144,0,0,1,650,618,677,712.19
QC,R,2022-01-01,99,0,0,1,339,315,90,402.79
QC,R,2022-02-01,117,0,0,1,370,339,88,396.43
QC,R,2022-03-01,115,0,0,0,403,370,138,406.89
QC,R,2022-04-01,104,0,0,0,396,403,151,399.25
QC,R,2022-05-01,109,0,0,0,407,396,163,389.54
QC,R,2022-06-01,105,0,0,0,399,407,185,386.97
QC,R,2022-07-01,115,0,0,0,390,399,212,375.49
QC,R,2022-08-01,125,0,0,0,387,390,234,369.8
QC,R,2022-09-01,108,0,0,0,375,387,249,405.6
QC,R,2022-10-01,122,0,0,1,370,375,283,426.98
QC,R,2022-11-01,114,0,0,1,406,370,315,453.68
QC,R,2022-12-01,112,0,0,1,427,406,339,473.76
QC,R,2023-01-01,119,0,0,1,454,427,370,504.65
QC,R,2023-02-01,111,0,0,1,474,454,403,477.17
QC,R,2023-03-01,117,0,0,0,505,474,396,464.67
QC,R,2023-04-01,111,0,0,0,477,505,407,456.31
QC,R,2023-05-01,143,0,0,0,465,477,399,446.64
QC,R,2023-06-01,125,0,0,0,456,465,390,441.58
QC,R,2023-07-01,118,0,0,0,447,456,387,428.96
QC,R,2023-08-01,128,0,0,0,442,447,375,438.57
QC,R,2023-09-01,126,0,1,0,429,442,370,468.28
QC,R,2023-10-01,126,0,0,1,439,429,406,487.86
QC,R,2023-11-01,135,0,0,1,468,439,427,512.15
QC,R,2023-12-01,137,0,0,1,488,468,454,532.6
QC,R,2024-01-01,125,0,0,1,512,488,474,561.92
QC,R,2024-02-01,125,0,0,1,533,512,505,531.24
QC,R,2024-03-01,129,0,0,0,562,533,477,510.9
QC,R,2024-04-01,108,0,0,0,531,562,465,498.68
QC,R,2024-05-01,118,0,0,0,511,531,456,488.65
QC,R,2024-06-01,149,0,0,0,499,511,447,483.25
QC,R,2024-07-01,153,0,0,0,489,499,442,470.15
QC,R,2024-08-01,134,0,0,0,483,489,429,465.26
QC,R,2024-09-01,144,0,0,0,470,483,439,499.18
QC,R,2024-10-01,141,0,0,1,465,470,468,518.53
QC,R,2024-11-01,173,0,0,1,499,465,488,549.26
QC,R,2024-12-01,152,0,0,1,519,499,512,582.38
QC,R,2025-01-01,139,0,0,1,549,519,533,607.59
QC,R,2025-02-01,131,0,0,1,582,549,562,573.76
QC,R,2025-03-01,124,0,0,0,608,582,531,563.53
QC,R,2025-04-01,145,0,0,0,574,608,511,541.02
QC,R,2025-05-01,135,0,0,0,564,574,499,522.17
QC,R,2025-06-01,128,0,0,0,541,564,489,504.18
QC,R,2025-07-01,138,0,0,0,522,541,483,488.58
QC,R,2025-08-01,134,0,0,0,504,522,470,489.2
QC,R,2025-09-01,167,0,0,0,489,504,465,536.41
QC,R,2025-10-01,159,0,0,1,489,489,499,558.7
QC,R,2025-11-01,149,0,0,1,536,489,519,588.92
QC,R,2025-12-01,168,0,0,1,559,536,549,613.48
QC,R,2026-01-01,152,0,0,1,589,559,582,639.03
QC,R,2026-02-01,141,0,0,1,613,589,608,597.53
QC,R,2026-03-01,171,0,0,0,639,613,574,567.93
QC,R,2026-04-01,160,0,0,0,598,639,564,546.1
QC,R,2026-05-01,141,0,0,0,568,598,541,524.39
QC,R,2026-06-01,153,0,0,0,546,568,522,508.94
QC,R,2026-07-01,145,0,0,0,524,546,504,494.88
QC,R,2026-08-01,139,0,0,0,509,524,489,487.95
QC,R,2026-09-01,169,0,0,0,495,509,489,545.33
QC,R,2026-10-01,182,0,0,1,488,495,536,566.72
QC,R,2026-11-01,141,0,0,1,545,488,559,601.36
QC,U,2022-01-01,115,0,0,1,412,380,135,481.0
QC,U,2022-02-01,102,0,0,1,443,412,132,457.24
QC,U,2022-03-01,113,0,0,0,481,443,194,467.9
QC,U,2022-04-01,119,0,0,0,457,481,205,449.59
QC,U,2022-05-01,98,0,0,0,468,457,239,453.68
QC,U,2022-06-01,119,0,0,0,450,468,255,445.19
QC,U,2022-07-01,109,0,0,0,454,450,280,448.97
QC,U,2022-08-01,121,0,0,0,445,454,288,440.14
QC,U,2022-09-01,110,0,0,0,449,445,294,477.43
QC,U,2022-10-01,101,0,0,1,440,449,345,505.8
QC,U,2022-11-01,103,0,0,1,477,440,380,531.27
QC,U,2022-12-01,120,0,0,1,506,477,412,568.44
QC,U,2023-01-01,123,0,0,1,531,506,443,588.76
QC,U,2023-02-01,112,0,0,1,568,531,481,580.05
QC,U,2023-03-01,128,0,1,0,589,568,457,549.92
QC,U,2023-04-01,106,0,0,0,580,589,468,523.45
QC,U,2023-05-01,123,0,0,0,550,580,450,512.57
QC,U,2023-06-01,112,0,0,0,523,550,454,516.78
QC,U,2023-07-01,119,0,0,0,513,523,445,509.66
QC,U,2023-08-01,127,0,0,0,517,513,449,499.16
QC,U,2023-09-01,118,0,0,0,510,517,440,559.62
QC,U,2023-10-01,124,0,1,1,499,510,477,586.67
QC,U,2023-11-01,139,0,0,1,560,499,506,618.59
QC,U,2023-12-01,124,0,0,1,587,560,531,640.9
QC,U,2024-01-01,139,0,0,1,619,587,568,672.78
QC,U,2024-02-01,119,0,0,1,641,619,589,639.07
QC,U,2024-03-01,138,0,0,0,673,641,580,644.45
QC,U,2024-04-01,148,0,1,0,639,673,550,611.31
QC,U,2024-05-01,107,0,0,0,644,639,523,593.03
QC,U,2024-06-01,126,0,0,0,611,644,513,582.2
QC,U,2024-07-01,142,0,0,0,593,611,517,568.57
QC,U,2024-08-01,134,0,0,0,582,593,510,554.49
QC,U,2024-09-01,141,0,0,0,569,582,499,591.79
QC,U,2024-10-01,131,0,0,1,554,569,560,622.62
QC,U,2024-11-01,140,0,0,1,592,554,587,661.57
QC,U,2024-12-01,138,0,0,1,623,592,619,682.34
QC,U,2025-01-01,154,0,0,1,662,623,641,701.8
QC,U,2025-02-01,144,0,0,1,682,662,673,665.05
QC,U,2025-03-01,146,0,0,0,702,682,639,642.47
QC,U,2025-04-01,138,0,0,0,665,702,644,621.52
QC,U,2025-05-01,138,0,0,0,642,665,611,603.83
QC,U,2025-06-01,140,0,0,0,622,642,593,587.74
QC,U,2025-07-01,150,0,0,0,604,622,582,582.21
QC,U,2025-08-01,142,0,0,0,588,604,569,559.22
QC,U,2025-09-01,151,0,0,0,582,588,554,607.85
QC,U,2025-10-01,173,0,0,1,559,582,592,639.27
QC,U,2025-11-01,159,0,0,1,608,559,623,658.61
QC,U,2025-12-01,146,0,0,1,639,608,662,693.99
QC,U,2026-01-01,165,0,0,1,659,639,682,731.11
